央视频道,#genre#
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
江苏卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/jiangsuhd/1200/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699067&netType=4&sid=5500199408&pid=2028597139&timestamp=20260516171550&Channel_ID=0116_2600037000-99000-200300220104958&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=220.196.48.197&SecurityKey=20260516171550&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5b7ce3fe2f3e3860a78209a575711587
东方卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r4/dfl/dongfangwshd/1200/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=600697&netType=4&sid=5910022185&pid=2028597139&timestamp=20260516171418&Channel_ID=0116_2600037000-99000-200300220104955&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=220.196.48.52&SecurityKey=20260516171418&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=710a98a5fa80f6253f633318aae9fccc
广东卫视,http://hlsztemgsplive.miguvideo.com:8080/ws_w/2018/gdws/gdws2000/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699054&netType=4&sid=2202428795&pid=2028597139&timestamp=20260516171657&Channel_ID=0116_2600037000-99000-200300220104960&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=220.196.48.64&SecurityKey=20260516171657&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=202ab500d43e1ef1d0a5bc37fc9ce8a2
北京卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/bjws/51/20251127/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=600697&netType=4&sid=5910022306&pid=2028597139&timestamp=20260516175518&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=630287636&ParentNodeID=-99&assertID=5910022306&client_ip=120.87.45.132&SecurityKey=20260516175518&promotionId=&mvid=5101042960&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=cabe2b0f6f92610c57bcae441eabb463&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1778925315237&prlId=4f89b0f1d885527a227fd4a636419cfe1778925315239&jid=4f89b0f1d885527a227fd4a636419cfe1778925314649V&is_advertise=0&sjid=subsession_1778925315821&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=1051e490579ba6398fcafe94f4f9e1be
湖北卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/hubeiwshd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=600633&netType=4&sid=5910022163&pid=2028597139&timestamp=20260516171025&Channel_ID=0116_2600037000-99000-200300220104944&ProgramID=947472496&ParentNodeID=-99&assertID=5910022163&client_ip=220.196.48.57&SecurityKey=20260516171025&promotionId=&mvid=5900004355&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a7a8c9196573bd157a6a721e53d34b07
辽宁卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=600572&netType=4&sid=5910022198&pid=2028597139&timestamp=20260516170954&Channel_ID=0116_2600037000-99000-200300220104943&ProgramID=630291707&ParentNodeID=-99&assertID=5910022198&client_ip=220.196.48.57&SecurityKey=20260516170954&promotionId=&mvid=5101043014&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f3bbec2edca9aff93c07ec3a8749ed35
东南卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/dongnanws/51/20230724/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=600717&netType=4&sid=5910022182&pid=2028597139&timestamp=20260516180551&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=849116810&ParentNodeID=-99&assertID=5910022182&client_ip=163.177.205.93&SecurityKey=20260516180551&promotionId=&mvid=5900006229&mcid=500020&playurlVersion=ZQ-A1-9.5.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=9f9dd2a18b93bdd3a8428819b19f8370&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1778925948723&prlId=4f89b0f1d885527a227fd4a636419cfe1778925948754&jid=4f89b0f1d885527a227fd4a636419cfe1778925947731V&is_advertise=0&sjid=subsession_1778926066850&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d43030f345b7a3e9fe925e069db3c990
江西卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/jxwshd/51/20190820/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=600633&netType=4&sid=5910021492&pid=2028597139&timestamp=20260516171058&Channel_ID=0116_2600037000-99000-200300220104945&ProgramID=783847495&ParentNodeID=-99&assertID=5910021492&client_ip=220.196.48.57&SecurityKey=20260516171058&promotionId=&mvid=5900004351&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6497d864a7a0411d36bc417aabfae52b
广东地区,#genre#
